Timestamp,#_slices,req_bw_per_slice,req_ue_per_slice,req_per_second,ul_per_app,dl_per_app,pdu_per_slice,latency_per_app,packet_loss_per_app,rtt_per_app,jitter_per_app,aggr_cpu,aggr_mem,aggr_disk,aggr_link_bw
1648827428,1,100,400,42,14,23,771,21.8,0.8,48.1,7.3,13.4,71.3,182.3,105.5
1648827458,1,100,400,43,16,22,991,24.4,0.9,51.6,8.1,13.9,72.4,193.8,113.3
1648827488,100000000,100,400,43,12,21,739,19.9,0.2,44,6.6,13.2,70.9,177.2,102
1648827518,1,100,400,43,14,19,903,31.7,0.8,60.4,10.6,13.5,71.5,184.3,106.8
1648827548,1,100,400,43,14,20,900,19.1,0.2,31.4,6.4,13.6,71.6,185.3,107.5
1648827578,1,100,400,41,13,14,679,21,0.7,35.8,7,12.8,69.9,166.5,94.8
1648827608,1,100,400,42,9,16,663,17.7,0.5,31.2,5.9,12.7,69.7,163.4,92.7
1648827638,1,100,400,44,18,27,999,35.1,0.6,59.3,11.7,14.3,73.2,203.5,119.8
1648827668,1,100,400,44,10,21,757,18.4,0.2,35.7,6.1,13.2,70.8,176.1,101.3
1648827698,1,100,400,41,10,15,666,18.1,0.1,45,6,12.6,69.6,162.7,92.3
1648827728,1,100,400,43,11,27,996,26.2,1.3,53.9,8.7,14,72.4,194.4,113.7
1648827758,1,100,400,44,9,15,635,13.3,0.2,28.4,4.4,12.7,69.9,165.6,94.3
1648827788,1,100,400,44,17,22,918,27.6,0.5,57.5,9.2,14,72.5,195.7,114.5
1648827818,1,100,400,44,9,17,652,14.6,0.2,35.2,4.9,12.9,70.1,168.4,96.2
1648827848,1,100,400,44,9,16,668,20.5,1.3,41.2,6.8,12.8,70.1,168,95.8
1648827878,1,100,400,42,11,22,986,35.9,1.2,88.1,12,13.7,71.8,187.5,109
1648827908,1,100,400,42,13,27,936,22.7,1.3,39.8,7.6,13.9,72.4,193.8,113.2
1648827938,1,100,400,42,14,15,727,23.6,0.5,51.8,7.9,13.1,70.6,174.1,100
1648827968,1,100,400,41,11,17,643,18.3,0.1,36.4,6.1,12.8,70,167.5,95.6
